127.0.0.1 - - [02/Apr/2018:22:41:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:20 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:21 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:21 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:21 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:21 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:21 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:21 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:21 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:21 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:22 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:22 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:22 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:22 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:22 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:22 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:39 +0900] "GET /semi/nlist?page=1 HTTP/1.1" 200 9541
127.0.0.1 - - [02/Apr/2018:22:41:39 +0900] "GET /semi/css/bootstrap.css HTTP/1.1" 200 159204
127.0.0.1 - - [02/Apr/2018:22:41:39 +0900] "GET /semi/js/jquery-3.1.1.js HTTP/1.1" 404 1040
127.0.0.1 - - [02/Apr/2018:22:41:40 +0900] "GET /semi/bestplace?page=1 HTTP/1.1" 200 12579
127.0.0.1 - - [02/Apr/2018:22:41:40 +0900] "GET /semi/images/village.jpg HTTP/1.1" 200 183228
127.0.0.1 - - [02/Apr/2018:22:41:40 +0900] "GET /semi/images/doota.jpg HTTP/1.1" 200 208558
